year,month,airport,incoming,outgoing
2007,1,SGAS,191,166
2007,1,SBMO,697,691
2007,1,SBTE,430,431
2007,1,SBGR,8891,8903
2007,1,SBGL,6494,6523
2007,1,SAEZ,1852,1812
2007,1,SBEG,1583,1582
2007,1,SAAR,25,26
2007,1,SBFZ,2083,2067
2007,1,SBVT,1102,1102
2007,1,SBPJ,103,98
2007,1,SBRF,2712,2691
2007,1,SBFI,380,372
2007,1,SBAU,198,197
2007,1,SBDN,138,135
2007,1,SBUR,240,247
2007,1,SBAR,622,630
2007,1,SBNM,26,28
2007,1,SBSV,3667,3699
2007,1,LEMD,443,431
2007,1,SBBR,5338,5335
2007,1,SBCG,616,601
2007,1,SKBO,166,114
2007,1,SBLO,594,604
2007,1,SBMG,315,310
2007,1,SBSR,303,308
2007,1,SUMU,267,260
2007,1,SBSP,9552,9496
2007,1,SBCY,733,716
2007,1,SBGO,1012,1040
2007,1,SBRP,490,515
2007,1,SLVR,213,267
2007,1,SBRJ,2324,2337
2007,1,SBBE,1387,1408
2007,1,FAJS,31,31
2007,1,SSDO,48,50
2007,1,SBBH,726,706
2007,1,SBNF,305,304
2007,1,SBJV,240,247
2007,1,SBPA,2761,2734
2007,1,SBCF,2494,2493
2007,1,SBSL,604,608
2007,1,SBNT,814,829
2007,1,SBKP,1087,1100
2007,1,SBPV,340,340
2007,1,SURV,52,56
2007,1,EDDF,111,107
2007,1,SBCT,3021,3019
2007,1,SBMK,188,192
2007,1,SBIL,266,266
2007,1,SBFL,1384,1394
2007,1,ELLX,3,21
2007,1,SBML,247,247
2007,1,SBAQ,109,109
2007,1,EHAM,31,31
2007,1,SBBU,257,258
2007,1,SJTC,66,66
2007,1,SBUL,454,444
2007,1,SNDV,39,40
2007,1,SBIZ,169,168
2007,1,SBJP,351,359
2007,1,KMIA,654,787
2007,1,SBSM,96,98
2007,1,KMEM,19,22
2007,1,SBPL,144,147
2007,1,LFPG,290,296
2007,1,SBCA,174,170
2007,1,SILC,50,50
2007,1,SBCH,133,137
2007,1,LPPT,246,243
2007,1,SBVG,35,37
2007,1,SCEL,570,523
2007,1,SBRG,47,49
2007,1,SBIP,251,249
2007,1,SBJF,100,100
2007,1,SBME,162,162
2007,1,SGES,59,91
2007,1,SBSN,507,510
2007,1,EDDM,43,44
2007,1,SBGV,135,136
2007,1,SIZX,26,39
2007,1,SWPI,137,136
2007,1,SBMD,134,119
2007,1,SBHT,218,219
2007,1,SOCA,31,36
2007,1,SWSI,130,139
2007,1,SBPK,46,46
2007,1,SBSJ,48,47
2007,1,SBUG,25,28
2007,1,SBRB,225,224
2007,1,MPTO,241,269
2007,1,SPIM,205,171
2007,1,SWRD,137,140
2007,1,MMMX,66,64
2007,1,SBPS,520,523
2007,1,SBMQ,248,249
2007,1,GOOY,64,80
2007,1,SBJU,126,129
2007,1,SWJI,82,60
2007,1,SBKG,40,41
2007,1,SVMI,91,99
2007,1,SACO,51,50
2007,1,SBMA,219,220
2007,1,SSHZ,22,22
2007,1,SBIH,144,146
2007,1,SWGI,37,39
2007,1,SNMA,30,30
2007,1,FNLU,14,14
2007,1,SBTC,25,25
2007,1,SWLB,18,18
2007,1,SSZR,24,22
2007,1,KATL,155,137
2007,1,SBPF,52,52
2007,1,SWGN,70,70
2007,1,SWFX,30,31
2007,1,SWCA,61,70
2007,1,SBCZ,35,37
2007,1,SBCX,127,129
2007,1,SBTU,46,46
2007,1,SBVH,68,68
2007,1,SDOW,85,84
2007,1,SJHG,20,17
2007,1,SWMW,23,23
2007,1,MUHA,9,8
2007,1,SBBV,135,132
2007,1,SBFN,101,101
2007,1,SBCJ,107,106
2007,1,KLAX,19,27
2007,1,SYCJ,13,12
2007,1,SBTF,67,67
2007,1,SWEI,28,19
2007,1,SWHT,18,18
2007,1,KJFK,243,248
2007,1,SNBR,46,46
2007,1,SBAT,45,44
2007,1,SNMZ,30,30
2007,1,SNDT,9,9
2007,1,SBLP,14,14
2007,1,SBMC,33,33
2007,1,SNDC,44,44
2007,1,SWKO,69,69
2007,1,FACT,13,13
2007,1,SDCG,9,9
2007,1,SBAX,66,66
2007,1,LIMC,78,78
2007,1,LIRF,36,35
2007,1,SNPD,46,46
2007,1,EGLL,107,106
2007,1,SSNM,28,28
2007,1,GVNP,9,9
2007,1,SNKE,27,27
2007,1,SBCR,32,33
2007,1,SNGI,14,14
2007,1,SNFX,41,41
2007,1,SNVS,30,30
2007,1,MMGL,0,4
2007,1,SWOB,18,9
2007,1,SNBS,37,36
2007,1,SBAA,44,44
2007,1,SJNP,41,41
2007,1,SNMU,18,17
2007,1,SWKN,50,51
2007,1,SBUF,19,19
2007,1,SWUY,72,72
2007,1,SBCP,24,26
2007,1,SBTT,40,62
2007,1,SWXM,26,26
2007,1,SWFN,25,25
2007,1,SWJN,38,39
2007,1,SUPE,14,17
2007,1,SWTP,11,11
2007,1,SWBR,24,24
2007,1,SMJP,18,19
2007,1,SBLE,4,4
2007,1,SWRP,26,25
2007,1,SNRU,10,10
2007,1,MMMY,0,2
2007,1,SDCO,5,7
2007,1,EDDK,4,5
2007,1,SBPC,1,1
2007,1,SDAM,5,5
2007,1,SJKB,12,12
2007,1,MTPP,3,3
2007,1,SBMN,2,2
2007,1,SBMY,24,25
2007,1,SULS,5,5
2007,1,SWBC,37,37
2007,1,SNOX,22,22
2007,1,MMMD,0,10
2007,1,SWOW,4,4
2007,1,TNCA,5,2
2007,1,SNVB,4,4
2007,1,SDSC,1,1
2007,1,ENGM,1,1
2007,1,SWPD,9,9
2007,1,SJDB,6,4
2007,1,SVMG,6,1
2007,1,SWEU,1,1
2007,1,SWUQ,2,2
2007,1,SBOI,16,16
2007,1,SNSH,1,1
2007,1,SWBV,1,1
2007,1,SBUA,20,19
2007,1,GCTS,0,1
2007,1,KIAD,96,93
2007,1,KIAH,63,62
2007,1,CYYZ,31,31
2007,1,TTPP,0,9
2007,1,KORD,31,31
2007,1,KEWR,31,31
2007,1,SKRG,1,4
2007,1,SBTB,46,46
2007,1,LPPR,27,27
2007,1,SBQV,54,54
2007,1,SKMD,0,4
2007,1,LEBL,9,9
2007,1,LSZH,27,27
2007,1,SWTU,28,28
2007,1,KDFW,63,62
2007,1,SEQU,19,0
2007,1,SEGU,13,0
2007,1,KFLL,13,0
2007,1,SLLP,52,0
2007,1,SCDA,5,0
2007,1,SELT,5,0
2007,1,SLCB,6,0
2007,1,SABE,1,0
2007,1,SBKO,1,0
2007,1,GCLP,13,0
2007,1,TJSJ,4,0
2007,1,SIMK,27,0
2007,1,TNCC,0,0
2007,1,MMUN,0,0
2007,1,SJQK,0,0
2007,1,TNCM,0,0
2007,1,SBST,0,0
2007,1,SNSM,0,0
2007,1,SKCL,0,0
2007,1,SBCV,0,0
2007,1,TFFR,0,0
2007,1,KGSO,0,0
2007,1,SVVA,0,0
2007,1,MDSD,0,0
2007,1,SNYV,0,0
2007,1,SSBN,0,0
2007,1,SBGY,0,0
2007,1,GVAC,0,0
2007,1,ESGG,0,0
2007,1,SNYB,0,0
2007,1,SKBQ,0,0
2007,1,LFBO,0,0
2007,1,KAFW,0,0
2007,1,SWBI,0,0
2007,1,SBCB,0,0
2007,1,SNJR,0,0
2007,1,SBBZ,0,0
2007,1,SBLJ,0,0
2007,1,KTUL,0,0
2007,1,SNZA,0,0
2007,1,TFFF,0,0
2007,1,SBJR,0,0
