year,month,airport,incoming,outgoing
2018,1,KMIA,973,1025
2018,1,SBBR,5997,5967
2018,1,KLAX,38,38
2018,1,SBGR,12574,12608
2018,1,KDFW,74,74
2018,1,SBGL,5654,5662
2018,1,SAEZ,1839,1911
2018,1,SLLP,31,31
2018,1,SLVR,224,248
2018,1,KJFK,288,258
2018,1,SBCF,5301,5289
2018,1,SBEG,1394,1429
2018,1,SUMU,472,471
2018,1,CYYZ,31,31
2018,1,LEMD,566,564
2018,1,SPJC,512,511
2018,1,SGAS,452,451
2018,1,SBRF,3452,3471
2018,1,SBSV,3313,3272
2018,1,LFPG,185,184
2018,1,SCEL,1000,999
2018,1,MMMX,96,95
2018,1,SBSP,8364,8421
2018,1,SBFL,1954,1948
2018,1,SBMG,429,418
2018,1,SBFI,1096,1066
2018,1,SBCT,3242,3273
2018,1,LIRF,159,161
2018,1,LEBL,93,92
2018,1,SACO,165,166
2018,1,SABE,737,652
2018,1,SAAR,125,124
2018,1,SBPS,1076,1044
2018,1,SBPA,3441,3364
2018,1,MMUN,23,22
2018,1,SVMI,25,25
2018,1,SASO,4,4
2018,1,SAME,34,34
2018,1,SKBO,607,583
2018,1,SBKP,5824,5864
2018,1,SBCG,667,662
2018,1,SBRJ,4642,4712
2018,1,SBVT,1369,1348
2018,1,SBIL,391,393
2018,1,SBRP,762,775
2018,1,SBNF,954,976
2018,1,SBLO,465,468
2018,1,SBHT,123,123
2018,1,SBBE,1392,1403
2018,1,SBSR,410,407
2018,1,SBCY,1469,1523
2018,1,SBFZ,2219,2237
2018,1,SBSL,719,716
2018,1,SBSM,32,33
2018,1,SBMO,905,899
2018,1,SBJE,50,51
2018,1,SBJP,582,581
2018,1,SNBR,90,90
2018,1,SBGV,144,140
2018,1,SBDN,159,159
2018,1,SBPK,28,36
2018,1,SBMK,175,176
2018,1,SBJU,297,293
2018,1,SBPL,181,184
2018,1,SWLC,27,27
2018,1,SBSG,982,985
2018,1,SBUL,648,655
2018,1,SBUR,102,102
2018,1,SBIP,160,159
2018,1,SBTE,515,497
2018,1,SBBV,99,97
2018,1,SBPV,391,389
2018,1,SBGO,1487,1425
2018,1,SWSI,89,89
2018,1,SBAT,31,31
2018,1,SBVH,30,29
2018,1,SBFN,161,161
2018,1,SBDO,58,58
2018,1,SBPJ,323,323
2018,1,SBSN,308,291
2018,1,SSKW,29,29
2018,1,SBCH,207,207
2018,1,SNVB,9,9
2018,1,SBCN,62,62
2018,1,SBAR,446,448
2018,1,SBNM,22,22
2018,1,SNTF,43,43
2018,1,SBAX,5,5
2018,1,SBUF,13,13
2018,1,SBTT,31,31
2018,1,SBML,62,62
2018,1,SBCB,176,178
2018,1,SBAE,89,90
2018,1,SBCA,170,175
2018,1,SBPF,102,103
2018,1,SBSO,28,29
2018,1,SBMA,140,139
2018,1,SBAU,110,85
2018,1,SBIZ,108,108
2018,1,SBJV,250,250
2018,1,SBRD,59,58
2018,1,SBMQ,208,210
2018,1,SBCR,41,41
2018,1,SBDB,36,36
2018,1,SBBW,28,28
2018,1,SBCX,96,104
2018,1,SBZM,118,118
2018,1,SBJI,80,80
2018,1,SBTG,81,81
2018,1,SBUG,27,27
2018,1,SNDV,13,13
2018,1,SBCJ,87,87
2018,1,SBQV,230,231
2018,1,SBJA,61,61
2018,1,SBCP,41,28
2018,1,SBFE,8,8
2018,1,SBTF,34,34
2018,1,SBVG,10,10
2018,1,SBLE,12,12
2018,1,SSZW,18,18
2018,1,SBLJ,19,20
2018,1,SBKG,114,114
2018,1,SBPB,4,4
2018,1,KFLL,71,71
2018,1,KMCO,189,186
2018,1,SOCA,38,39
2018,1,LPPT,340,340
2018,1,SULS,26,26
2018,1,SBTC,22,22
2018,1,SBBH,197,196
2018,1,GVAC,2,2
2018,1,LFBO,0,1
2018,1,EGLL,120,120
2018,1,ZBAA,8,9
2018,1,EDDF,216,218
2018,1,EDDM,5,5
2018,1,ELLX,57,63
2018,1,EHAM,198,202
2018,1,SEQM,182,179
2018,1,TJBQ,47,46
2018,1,MPTO,779,775
2018,1,MUHA,13,13
2018,1,MUCL,5,5
2018,1,KATL,95,97
2018,1,KDTW,14,13
2018,1,FNLU,27,26
2018,1,LSZH,40,40
2018,1,HAAB,22,23
2018,1,KMEM,18,19
2018,1,GOOY,69,66
2018,1,SBCZ,45,46
2018,1,SBRB,121,121
2018,1,SKRG,163,141
2018,1,SMJP,18,18
2018,1,MDPC,46,52
2018,1,TFFF,4,4
2018,1,SEQU,50,50
2018,1,LIMC,46,45
2018,1,PANC,9,9
2018,1,RKSI,8,9
2018,1,SEGU,53,53
2018,1,SGES,43,43
2018,1,SANT,22,22
2018,1,SCDA,48,40
2018,1,MROC,75,43
2018,1,MGGT,5,5
2018,1,SKCL,10,10
2018,1,SVVA,21,21
2018,1,MDSD,2,2
2018,1,MMGL,8,4
2018,1,MMMD,4,4
2018,1,SBSJ,3,3
2018,1,KEWR,64,63
2018,1,SBIH,29,29
2018,1,SWCA,22,22
2018,1,SBUA,9,9
2018,1,SWEI,9,9
2018,1,SWKO,9,9
2018,1,SWLB,5,5
2018,1,SWBC,17,17
2018,1,SBTB,26,26
2018,1,SWPI,51,51
2018,1,SWGN,31,31
2018,1,OTHH,46,47
2018,1,EBLG,9,9
2018,1,GMMN,32,30
2018,1,SVBC,13,14
2018,1,FAJS,44,75
2018,1,FAOR,23,24
2018,1,SDSC,9,8
2018,1,KIAD,32,32
2018,1,OMAA,0,1
2018,1,LPPR,19,19
2018,1,GVNP,16,17
2018,1,LTBA,33,32
2018,1,GOBD,8,8
2018,1,SBUY,69,69
2018,1,OMDB,65,66
2018,1,OMDW,0,9
2018,1,KIAH,124,124
2018,1,KORD,31,31
2018,1,SLCB,18,0
2018,1,LEZG,1,0
2018,1,SPIM,1,0
2018,1,SBNT,1,0
2018,1,TJSJ,0,0
2018,1,SNPD,0,0
2018,1,GCRR,0,0
2018,1,TNCA,0,0
2018,1,KBHM,0,0
2018,1,SKBQ,0,0
2018,1,SNDT,0,0
2018,1,SNTO,0,0
2018,1,SNAR,0,0
2018,1,SNOS,0,0
2018,1,SNJR,0,0
2018,1,SBPC,0,0
2018,1,SNVC,0,0
2018,1,SNGX,0,0
2018,1,SNJM,0,0
2018,1,SNZA,0,0
2018,1,SNUI,0,0
2018,1,SNCT,0,0
2018,1,SNUB,0,0
2018,1,SNZR,0,0
2018,1,SNJN,0,0
2018,1,SNPX,0,0
2018,1,LPFR,0,0
2018,1,KMZJ,0,0
2018,1,SNNU,0,0
2018,1,SDVL,0,0
2018,1,SBGP,0,0
2018,1,DGAA,0,0
2018,1,MMQT,0,0
2018,1,DNMM,0,0
2018,1,MMMY,0,0
2018,1,GCLP,0,0
2018,1,SUMO,0,0
2018,1,TNCC,0,0
2018,1,KDOV,0,0
2018,1,GCTS,0,0
2018,1,KRSW,0,0
2018,1,SASJ,0,0
2018,1,MSLP,0,0
2018,1,KAUS,0,0
2018,1,EBBR,0,0
2018,1,SBBG,0,0
2018,1,SURV,0,0
2018,1,SJRG,0,0
2018,1,SSRZ,0,0
2018,1,SNFE,0,0
2018,1,SPSO,0,0
2018,1,KBDL,0,0
2018,1,SACE,0,0
