year,month,airport,incoming,outgoing
2008,1,SBSV,2876,2881
2008,1,SBMO,479,479
2008,1,SBPL,95,95
2008,1,SBVT,1099,1085
2008,1,SAAR,27,29
2008,1,SBKP,1252,1245
2008,1,SBUL,528,528
2008,1,SBRP,576,567
2008,1,SBSR,285,250
2008,1,SBEG,1762,1777
2008,1,SBSP,7274,7226
2008,1,SBFZ,1725,1647
2008,1,SIMK,27,27
2008,1,SBPA,2440,2433
2008,1,SBCG,693,713
2008,1,KMIA,661,830
2008,1,SBFI,380,381
2008,1,SBGR,8854,8913
2008,1,SBJP,290,273
2008,1,SBRF,2158,2157
2008,1,SBGL,6068,5978
2008,1,SBBE,1367,1324
2008,1,SBSL,479,511
2008,1,SBAU,176,153
2008,1,SBML,192,211
2008,1,SBSJ,143,144
2008,1,LFPG,350,349
2008,1,SBAR,341,342
2008,1,LPPT,269,315
2008,1,SBPJ,144,146
2008,1,SBNM,27,27
2008,1,SBMG,309,309
2008,1,SBDN,244,217
2008,1,SBAX,62,62
2008,1,SCEL,519,478
2008,1,SSDO,46,48
2008,1,SUMU,325,326
2008,1,SAEZ,1852,1766
2008,1,SBBR,5188,5167
2008,1,SBFL,1318,1343
2008,1,SBLO,446,453
2008,1,SBCY,941,973
2008,1,SBCF,2604,2637
2008,1,SBCT,2911,2892
2008,1,SKBO,170,122
2008,1,FAJS,62,62
2008,1,SBBH,660,653
2008,1,SBCP,68,68
2008,1,SBPV,285,288
2008,1,SJTC,284,299
2008,1,SBUR,168,178
2008,1,SBPK,75,80
2008,1,SBRJ,2120,2124
2008,1,SBMK,133,136
2008,1,SGAS,156,140
2008,1,SWJI,88,87
2008,1,SBTE,312,340
2008,1,EHAM,31,31
2008,1,SBME,254,252
2008,1,SBGO,996,1022
2008,1,SBIZ,170,171
2008,1,SBSM,54,54
2008,1,SNDV,12,12
2008,1,SBAT,64,63
2008,1,SGES,142,157
2008,1,SBRG,80,82
2008,1,SBCH,91,90
2008,1,SBMA,265,271
2008,1,KMEM,19,23
2008,1,SBCA,221,221
2008,1,SBJU,121,121
2008,1,EDDF,167,169
2008,1,SBNT,696,709
2008,1,SBSN,491,493
2008,1,SBVG,12,12
