year,month,airport,incoming,outgoing
2002,1,SBCT,3003,2914
2002,1,SBCF,729,735
2002,1,SBMQ,321,382
2002,1,KMIA,256,468
2002,1,SBFL,1213,1293
2002,1,SAEZ,1351,1135
2002,1,SLVR,143,145
2002,1,SBEG,1047,1154
2002,1,LEMD,198,210
2002,1,SBUL,469,461
2002,1,SBSR,417,425
2002,1,SBMO,779,811
2002,1,SBNT,950,987
2002,1,SBBE,1188,1287
2002,1,SBPA,1924,2187
2002,1,SBSJ,147,174
2002,1,SBRP,865,875
2002,1,SBRF,2358,2463
2002,1,SBAR,500,562
2002,1,SBGO,955,925
2002,1,SBCH,181,206
2002,1,SBKP,1885,1730
2002,1,SBSP,9730,9293
2002,1,SBCM,51,103
2002,1,SBJP,240,272
2002,1,SBFI,230,314
2002,1,SBSV,3109,2888
2002,1,FAJS,14,14
2002,1,SDCO,4,30
2002,1,SBJF,208,208
2002,1,SBBU,347,324
2002,1,LIRF,28,55
2002,1,KMEM,24,20
2002,1,SBRJ,4475,4476
2002,1,SBFZ,1546,1697
2002,1,GOOY,30,17
2002,1,SBDN,305,288
2002,1,SBVT,1121,1117
2002,1,SBBH,3188,3138
2002,1,SBNF,494,520
2002,1,SBCG,489,610
2002,1,SBBR,4989,4736
2002,1,SBAU,95,96
2002,1,FNLU,5,5
2002,1,SBSL,591,616
2002,1,KJFK,56,99
2002,1,SBJV,550,527
2002,1,SBML,265,294
2002,1,SBCA,202,203
2002,1,SBLO,910,889
2002,1,SBGR,6675,5968
2002,1,SUMU,199,228
2002,1,SBCY,584,677
2002,1,SBGL,3588,3462
2002,1,SBPF,89,89
2002,1,MPTO,56,106
2002,1,SBMH,210,240
2002,1,SBCX,360,361
2002,1,SBMD,124,95
2002,1,LIMC,15,74
2002,1,LFPG,75,186
2002,1,SBNM,102,70
2002,1,SBUR,86,144
2002,1,SBIP,171,173
2002,1,SBFN,265,281
2002,1,SBIZ,162,163
2002,1,SBTE,414,440
2002,1,EHAM,0,31
2002,1,SBSN,447,437
2002,1,SBIL,433,399
2002,1,LPPT,89,145
2002,1,EDDF,80,152
2002,1,SBJU,135,136
2002,1,SWPI,117,117
2002,1,SBMA,176,119
2002,1,SBVG,140,113
2002,1,MUHA,7,20
2002,1,SBBV,99,108
2002,1,SWJI,31,30
2002,1,SBPV,186,258
2002,1,SCEL,209,229
2002,1,SKBO,78,45
