year,month,airport,incoming,outgoing
2005,1,KMIA,439,584
2005,1,SBBE,1292,1320
2005,1,SBMQ,317,316
2005,1,SBAR,444,475
2005,1,SBKG,43,41
2005,1,SBPL,146,145
2005,1,SBJU,99,99
2005,1,SBMO,623,616
2005,1,SBPJ,111,111
2005,1,SBNT,1009,1011
2005,1,SBNF,266,266
2005,1,SBBU,237,239
2005,1,SBBH,2212,2221
2005,1,SDCO,61,62
2005,1,SBGR,6567,6682
2005,1,SBAU,138,140
2005,1,SBEG,1172,1148
2005,1,SBUR,185,191
2005,1,SBRP,351,344
2005,1,SBPB,56,56
2005,1,SBFZ,1769,1765
2005,1,SBJP,159,159
2005,1,SBCG,610,613
2005,1,SBPA,1925,1920
2005,1,SBFI,413,416
2005,1,SBVT,876,883
2005,1,SBSP,8137,8096
2005,1,SBLO,467,469
2005,1,SBKP,993,1001
2005,1,SBJF,156,156
2005,1,SBMG,256,256
2005,1,SBDN,148,149
2005,1,SBSV,3089,3099
2005,1,FAJS,31,32
2005,1,SAEZ,1419,1416
2005,1,SBSL,566,557
2005,1,FNLU,6,7
2005,1,SBCY,673,674
2005,1,SBBR,4583,4590
2005,1,SYCJ,13,17
2005,1,SBRF,2080,2065
2005,1,SBRJ,2124,2126
2005,1,SBSR,208,208
2005,1,SBMK,145,151
2005,1,SBSJ,91,91
2005,1,SBGO,787,787
2005,1,SBAQ,146,147
2005,1,SBCM,48,47
2005,1,SBJV,199,198
2005,1,SSDO,43,45
2005,1,SDSC,40,40
2005,1,SBGL,4820,4670
2005,1,SBFL,932,937
2005,1,SBME,169,172
2005,1,SBCT,2359,2348
2005,1,SUMU,282,275
2005,1,SBCF,474,470
2005,1,SBML,188,186
2005,1,SBPV,335,338
2005,1,SBSN,392,397
2005,1,SOCA,79,84
2005,1,SMJP,23,22
2005,1,SBMS,31,31
2005,1,SBUL,440,430
2005,1,SBRB,256,259
2005,1,KMEM,17,21
2005,1,SBHT,188,188
2005,1,SBTE,366,369
2005,1,GOOY,61,47
2005,1,GVAC,26,24
2005,1,SILC,52,53
2005,1,LPPT,231,215
2005,1,MPTO,116,133
2005,1,SBIZ,88,88
2005,1,SBIP,227,229
2005,1,SNDB,26,26
2005,1,SCEL,342,261
2005,1,SBCA,136,131
2005,1,SBIL,322,322
2005,1,SBAX,54,52
2005,1,SWSI,141,144
2005,1,SBGV,112,107
2005,1,SBIH,262,242
2005,1,SBPS,544,543
2005,1,CYYZ,45,44
2005,1,MMMX,80,78
2005,1,SBMA,108,108
2005,1,SBCH,84,86
2005,1,SBCZ,63,59
2005,1,SGAS,143,174
2005,1,SIZX,52,52
2005,1,SWBC,45,45
2005,1,SBCX,109,110
2005,1,SNOX,38,39
2005,1,SBTC,30,30
2005,1,SBTU,62,62
2005,1,SNGI,42,42
2005,1,SBTT,30,37
2005,1,SWGN,83,83
2005,1,SNVS,42,42
2005,1,KATL,62,75
2005,1,SWOB,9,9
2005,1,SBLE,51,53
2005,1,TFFR,0,4
2005,1,SGES,33,37
2005,1,SBQV,158,158
2005,1,SWLB,18,18
2005,1,SBTF,83,81
2005,1,SBCJ,91,90
2005,1,SBCR,38,40
2005,1,SSVI,18,18
2005,1,SBVH,81,81
2005,1,MUHA,15,14
2005,1,SJDB,9,9
2005,1,SWMW,17,17
2005,1,SBMD,81,92
2005,1,SLVR,247,277
2005,1,LEMD,373,388
2005,1,SBFN,131,132
2005,1,SBPF,83,83
2005,1,SBCP,95,93
2005,1,SDCG,9,9
2005,1,SWHT,18,18
2005,1,SBRG,13,13
2005,1,SBBV,85,80
2005,1,SWBZ,28,28
2005,1,SPIM,124,110
2005,1,SWJI,37,37
2005,1,SJNP,92,95
2005,1,SBAT,26,27
2005,1,SNBR,82,81
2005,1,SBNM,52,52
2005,1,SWJN,122,122
2005,1,SWRP,63,59
2005,1,EDDF,127,126
2005,1,FACT,14,13
2005,1,SWKO,39,39
2005,1,LIRF,46,45
2005,1,SNDC,18,18
2005,1,LIMC,66,70
2005,1,TFFF,0,8
2005,1,LFPG,190,213
2005,1,SUPE,21,17
2005,1,SBLP,38,40
2005,1,SBBQ,62,62
2005,1,SWNK,13,13
2005,1,MMGL,0,4
2005,1,SSNM,52,52
2005,1,SWXM,26,26
2005,1,SNMU,19,20
2005,1,SKBO,107,69
2005,1,SVMI,95,100
2005,1,SWCA,28,28
2005,1,SWKN,25,25
2005,1,SWRD,82,81
2005,1,SWTP,14,14
2005,1,SBBZ,13,13
2005,1,SDAG,8,8
2005,1,SWUY,67,67
2005,1,SWEI,16,18
2005,1,SNMD,1,1
2005,1,KJFK,130,127
2005,1,SNMA,13,15
2005,1,SBIC,1,1
2005,1,SVMG,5,5
2005,1,SNVB,6,7
2005,1,SNSH,2,2
2005,1,SKCL,5,3
2005,1,SULS,14,9
2005,1,SDAM,13,13
2005,1,SACO,41,10
2005,1,MMUN,5,13
2005,1,LSZH,22,28
2005,1,MMMD,2,6
2005,1,SBMN,5,6
2005,1,SBUF,4,4
2005,1,SBJR,2,2
2005,1,MDPC,3,3
2005,1,SWPI,139,139
2005,1,SBCV,5,5
2005,1,SBTB,23,14
2005,1,SDTK,1,1
2005,1,LFPO,1,1
2005,1,LEBL,2,2
2005,1,SLCB,4,3
2005,1,SWLV,1,1
2005,1,KLAX,26,32
2005,1,KIAD,62,62
2005,1,KEWR,31,26
2005,1,KIAH,31,28
2005,1,KORD,63,62
2005,1,SEGU,9,4
2005,1,SNBI,17,17
2005,1,SIMK,21,21
2005,1,SBMY,13,13
2005,1,EHAM,26,26
2005,1,SWJU,13,13
2005,1,SNMZ,13,13
2005,1,SWBR,13,13
2005,1,SBUA,13,13
2005,1,SBOI,13,13
2005,1,SNTI,9,8
2005,1,EGLL,61,62
2005,1,KDFW,62,62
2005,1,KFLL,13,0
2005,1,LPFR,1,0
2005,1,SKRG,2,0
2005,1,SCDA,1,0
2005,1,SLLP,37,0
2005,1,TJSJ,5,0
2005,1,MROC,0,0
2005,1,SNPD,0,0
2005,1,MMAA,0,0
2005,1,SNYB,0,0
2005,1,TNCA,0,0
2005,1,LLBG,0,0
2005,1,SEQU,0,0
2005,1,SSCC,0,0
2005,1,SIKC,0,0
2005,1,SWNO,0,0
2005,1,MTPP,0,0
2005,1,SAIG,0,0
2005,1,TNCM,0,0
2005,1,SABE,0,0
2005,1,SWTU,0,0
2005,1,SDPA,0,0
2005,1,EKCH,0,0
2005,1,SVVA,0,0
2005,1,SNDT,0,0
2005,1,SVPR,0,0
2005,1,SNJB,0,0
2005,1,KMCO,0,0
2005,1,SWEU,0,0
2005,1,SNJD,0,0
2005,1,TAPA,0,0
2005,1,SVMC,0,0
2005,1,GCTS,0,0
2005,1,EDDM,0,0
2005,1,SLPS,0,0
2005,1,SNGL,0,0
2005,1,KTUS,0,0
2005,1,EGGW,0,0
2005,1,EBBR,0,0
2005,1,ELLX,0,0
2005,1,SBPP,0,0
2005,1,SDJA,0,0
2005,1,TNCC,0,0
2005,1,SNTP,0,0
2005,1,SNVV,0,0
2005,1,SNMK,0,0
2005,1,None,0,0
2005,1,SAME,0,0
2005,1,SKBQ,0,0
2005,1,GCLP,0,0
2005,1,TTPP,0,0
2005,1,MMMY,0,0
2005,1,SBAM,0,0
2005,1,SAZS,0,0
2005,1,SNBW,0,0
2005,1,SDMC,0,0
2005,1,SBMH,0,0
2005,1,LEPA,0,0
2005,1,GCXO,0,0
2005,1,SNLA,0,0
2005,1,SIFV,0,0
2005,1,SAMM,0,0
2005,1,SNUB,0,0
2005,1,SNDM,0,0
2005,1,SBPC,0,0
2005,1,SMPJ,0,0
2005,1,SAZN,0,0
2005,1,SBBT,0,0
2005,1,SNKI,0,0
2005,1,SDUN,0,0
2005,1,SNBV,0,0
2005,1,SISO,0,0
2005,1,SNEB,0,0
2005,1,SDLK,0,0
2005,1,SVMT,0,0
2005,1,SWEK,0,0
2005,1,SBBW,0,0
2005,1,SWLC,0,0
2005,1,SBLN,0,0
2005,1,SAZE,0,0
2005,1,SDRS,0,0
2005,1,SBJK,0,0
2005,1,LEZL,0,0
2005,1,SNZA,0,0
2005,1,SWFX,0,0
2005,1,SWVC,0,0
2005,1,EBLG,0,0
2005,1,LPPR,0,0
2005,1,SBTL,0,0
2005,1,EDDL,0,0
2005,1,SWYN,0,0
2005,1,SWBI,0,0
2005,1,SDVE,0,0
2005,1,SBMT,0,0
2005,1,ESGG,0,0
2005,1,SBAA,0,0
2005,1,SNPG,0,0
2005,1,SNVR,0,0
2005,1,SAAR,0,0
2005,1,LEMG,0,0
2005,1,SWWD,0,0
2005,1,LFBO,0,0
2005,1,SJKB,0,0
2005,1,SNYA,0,0
2005,1,GVNP,0,0
2005,1,SWFN,0,0
2005,1,SNFX,0,0
2005,1,SBLJ,0,0
2005,1,FAWB,0,0
2005,1,EDDH,0,0
2005,1,SDOW,0,0
2005,1,MYNN,0,0
2005,2,KMIA,424,558
2005,2,SBBE,1094,1117
2005,2,SBMQ,257,258
2005,2,SBAR,337,337
2005,2,SBKG,38,39
2005,2,SBPL,118,102
2005,2,SBJU,89,89
2005,2,SBMO,432,426
2005,2,SBPJ,88,88
2005,2,SBNT,675,679
2005,2,SBNF,226,221
2005,2,SBBU,217,218
2005,2,SBBH,1890,1894
2005,2,SDCO,59,60
2005,2,SBGR,5598,5657
2005,2,SBAU,119,121
2005,2,SBEG,1016,1013
2005,2,SBUR,163,163
2005,2,SBRP,274,272
2005,2,SBPB,16,16
2005,2,SBFZ,1361,1359
2005,2,SBJP,113,113
2005,2,SBCG,475,479
2005,2,SBPA,1651,1642
2005,2,SBFI,295,293
2005,2,SBVT,726,731
2005,2,SBSP,6932,6917
2005,2,SBLO,420,416
2005,2,SBKP,895,903
2005,2,SBJF,144,145
2005,2,SBMG,233,233
2005,2,SBDN,120,124
2005,2,SBSV,2463,2454
2005,2,FAJS,28,28
2005,2,SAEZ,1272,1290
2005,2,SBSL,375,377
2005,2,FNLU,4,4
2005,2,SBCY,565,566
2005,2,SBBR,3770,3769
2005,2,SYCJ,16,21
2005,2,SBRF,1622,1662
2005,2,SBRJ,1692,1699
2005,2,SBSR,188,188
2005,2,SBMK,129,130
2005,2,SBSJ,79,78
2005,2,SBGO,612,610
2005,2,SBAQ,137,137
2005,2,SBCM,44,44
2005,2,SBJV,180,182
2005,2,SSDO,41,41
2005,2,SDSC,19,19
2005,2,SBGL,4126,4007
2005,2,SBFL,818,821
2005,2,SBME,161,155
2005,2,SBCT,2087,2094
2005,2,SUMU,241,239
2005,2,SBCF,370,370
2005,2,SBML,172,172
2005,2,SBPV,222,222
2005,2,SBSN,366,361
