year,month,airport,incoming,outgoing
2017,1,KMIA,887,907
2017,1,SBBR,5738,5763
2017,1,KLAX,32,31
2017,1,SBGR,11610,11530
2017,1,SAEZ,1565,1614
2017,1,SBGL,5548,5521
2017,1,SLLP,31,31
2017,1,SLVR,187,210
2017,1,KJFK,245,218
2017,1,KDFW,63,62
2017,1,SBEG,1444,1496
2017,1,MYNN,1,1
2017,1,SUMU,493,503
2017,1,SBCF,4982,4942
2017,1,CYYZ,31,31
2017,1,LEMD,562,564
2017,1,SGAS,349,348
2017,1,SPJC,578,576
2017,1,SBSV,3017,3026
2017,1,LFPG,175,175
2017,1,SCEL,914,885
2017,1,MMMX,66,70
2017,1,LIRF,137,138
2017,1,LEBL,66,68
2017,1,SACO,107,107
2017,1,SBPS,897,925
2017,1,SABE,610,577
2017,1,SBPA,3084,3169
2017,1,SBFL,1664,1687
2017,1,MMUN,11,10
2017,1,SVMI,58,59
2017,1,SBCT,3112,3106
2017,1,SKBO,491,463
2017,1,SBBH,109,108
2017,1,SBHT,172,174
2017,1,SBKP,6112,6086
2017,1,SBAR,579,579
2017,1,SBFI,930,912
2017,1,SBMK,200,211
2017,1,SBRF,3041,3063
2017,1,SBMS,0,1
2017,1,SBMO,954,958
2017,1,SBMG,398,394
2017,1,SDCO,3,3
2017,1,SBCH,219,219
2017,1,SBGO,1384,1418
2017,1,SBCY,1361,1358
2017,1,SBGV,117,131
2017,1,SBRJ,4429,4412
2017,1,SBVT,1283,1303
2017,1,SBRP,859,860
2017,1,SBLO,494,502
2017,1,SBBE,1538,1569
2017,1,SBNF,617,615
2017,1,SBSP,8136,8085
2017,1,SBJU,295,295
2017,1,SBSM,34,27
2017,1,SBUR,107,107
2017,1,SBAX,9,9
2017,1,SBSL,786,755
2017,1,SBIZ,135,134
2017,1,SBKG,84,85
2017,1,SNBR,88,89
2017,1,SBFZ,2247,2280
2017,1,SBPV,458,449
2017,1,SBCX,80,80
2017,1,SBPK,26,27
2017,1,SBCP,51,49
2017,1,SBPL,233,230
2017,1,SWLC,28,28
2017,1,SBDN,150,152
2017,1,SBUL,568,572
2017,1,SBIP,109,107
2017,1,SBBV,137,137
2017,1,SBSR,386,383
2017,1,SWSI,146,146
2017,1,SBZM,111,110
2017,1,SBAT,31,31
2017,1,SBMQ,280,245
2017,1,SBMA,204,207
2017,1,SBVH,27,28
2017,1,SBFN,187,188
2017,1,SBSN,348,318
2017,1,SBDO,53,53
2017,1,SSKW,27,27
2017,1,SBSG,1096,1104
2017,1,SNVB,8,8
2017,1,SNTF,28,28
2017,1,SBCN,76,76
2017,1,SBTE,545,538
2017,1,SBJP,565,570
2017,1,SBUF,9,9
2017,1,SBTT,31,31
2017,1,SBCB,171,171
2017,1,SBLE,25,26
2017,1,SWPI,34,31
2017,1,SBIL,391,391
2017,1,SBPF,126,129
2017,1,SBCG,581,577
2017,1,SBPB,5,5
2017,1,SBSO,27,26
2017,1,SBDB,17,17
2017,1,SBCJ,75,75
2017,1,SBFE,5,5
2017,1,SBPJ,283,282
2017,1,SBBW,27,27
2017,1,SBML,115,116
2017,1,SBAE,146,149
2017,1,SBAU,95,90
2017,1,SBJV,247,272
2017,1,SBTG,60,58
2017,1,SBJI,31,30
2017,1,SBUG,36,36
2017,1,SBRD,69,70
2017,1,SNDV,37,37
2017,1,SBCA,187,191
2017,1,SBQV,196,197
2017,1,SBTF,55,55
2017,1,SBVG,17,17
2017,1,SBJA,72,71
2017,1,SBCR,19,18
2017,1,SSZW,27,27
2017,1,SBLJ,27,27
2017,1,KFLL,46,46
2017,1,KMCO,122,123
2017,1,SOCA,44,44
2017,1,LPPT,297,297
2017,1,SULS,37,37
2017,1,SBTC,26,26
2017,1,LPFR,0,1
2017,1,LPPR,17,18
2017,1,GVAC,11,11
2017,1,LFBO,0,1
2017,1,EGLL,115,115
2017,1,ZBAA,9,8
2017,1,EDDF,202,204
2017,1,ELLX,35,25
2017,1,TJBQ,44,47
2017,1,EHAM,190,199
2017,1,SELT,13,13
2017,1,MPTO,677,679
2017,1,SAAR,95,86
2017,1,MUHA,16,16
2017,1,MUCL,5,5
2017,1,KDTW,13,15
2017,1,KATL,94,94
2017,1,FNLU,20,21
2017,1,LSZH,40,40
2017,1,OMAA,33,33
2017,1,DXXX,27,27
2017,1,HAAB,14,13
2017,1,KMEM,17,18
2017,1,GOOY,61,53
2017,1,SBRB,181,183
2017,1,SBCZ,31,33
2017,1,SMJP,20,20
2017,1,SAME,13,13
2017,1,MDPC,42,46
2017,1,TFFF,4,4
2017,1,SEQU,80,80
2017,1,EDFH,0,1
2017,1,TNCC,27,27
2017,1,SYCJ,10,10
2017,1,LIMC,38,39
2017,1,RKSI,9,8
2017,1,PANC,8,8
2017,1,SEQM,138,136
2017,1,SEGU,52,52
2017,1,SGES,47,42
2017,1,SKRG,158,148
2017,1,SANT,21,21
2017,1,LFSB,5,5
2017,1,SCDA,49,40
2017,1,MROC,75,43
2017,1,SKCL,10,10
2017,1,SVVA,24,24
2017,1,MGGT,4,4
2017,1,MMMD,4,6
2017,1,MMGL,8,4
2017,1,SBSJ,2,3
2017,1,SBIH,47,51
2017,1,SWCA,28,28
2017,1,SBUA,10,10
2017,1,SWBC,13,13
2017,1,SWEI,11,11
2017,1,SWKO,29,29
2017,1,SWHT,9,9
2017,1,SBMY,9,9
2017,1,SWLB,11,11
2017,1,SBTB,28,28
2017,1,SWGN,31,31
2017,1,OTHH,31,31
2017,1,GMMN,18,18
2017,1,FAJS,44,74
2017,1,FAOR,13,14
2017,1,SDSC,10,8
2017,1,GVNP,12,13
2017,1,LTBA,23,23
2017,1,SBUY,65,65
2017,1,OMDB,62,62
2017,1,OMDW,0,9
2017,1,KIAH,125,124
2017,1,KEWR,31,31
2017,1,KORD,32,31
2017,1,KIAD,31,31
2017,1,SLCB,18,0
2017,1,LKMT,1,0
2017,1,KPBI,0,0
2017,1,LEZL,0,0
2017,1,SNGI,0,0
2017,1,SNPD,0,0
2017,1,SVBC,0,0
2017,1,EHBK,0,0
2017,1,EBBR,0,0
2017,1,TJSJ,0,0
2017,1,SWBR,0,0
2017,1,EBLG,0,0
2017,1,KBOS,0,0
2017,1,GCLP,0,0
2017,1,KBKV,0,0
2017,1,OTBD,0,0
2017,1,EGKK,0,0
2017,1,EGSS,0,0
2017,1,DGAA,0,0
2017,1,SVBI,0,0
2017,1,DNMM,0,0
2017,1,SPIM,0,0
2017,1,SWMW,0,0
2017,1,GCRR,0,0
2017,1,SBNT,0,0
2017,1,WSSL,0,0
2017,1,EDDR,0,0
2017,1,LMML,0,0
2017,1,LFBT,0,0
2017,1,EDDS,0,0
2017,1,SCCF,0,0
2017,1,SWNK,0,0
2017,1,SBJE,0,0
2017,1,SBNM,0,0
2017,1,SAZS,0,0
2017,1,GQNN,0,0
2017,1,KVCV,0,0
2017,1,SAZN,0,0
2017,1,EDDM,0,0
2017,1,EDDB,0,0
2017,1,TTPP,0,0
2017,1,KDEN,0,0
2017,1,KSFO,0,0
2017,1,GCTS,0,0
2017,1,SBJD,0,0
2017,1,SKBQ,0,0
2017,1,EDHI,0,0
2017,1,TNCA,0,0
2017,1,MMMA,0,0
2017,1,LEZG,0,0
2017,1,KMZJ,0,0
2017,1,SBCV,0,0
2017,1,KAUS,0,0
2017,1,EGNX,0,0
2017,1,MMMY,0,0
2017,1,MMQT,0,0
2017,1,OOMS,0,0
2017,1,SBOI,0,0
2017,1,VHHH,0,0
2017,1,VDSR,0,0
2017,1,SSVL,0,0
2017,2,KMIA,789,801
2017,2,SBBR,5100,5116
2017,2,KLAX,27,28
2017,2,SBGR,10187,10138
2017,2,SAEZ,1451,1473
2017,2,SBGL,4877,4864
2017,2,SLLP,28,28
2017,2,SLVR,164,185
2017,2,KJFK,231,192
2017,2,KDFW,56,56
2017,2,SBEG,1284,1301
2017,2,MYNN,0,0
2017,2,SUMU,409,422
2017,2,SBCF,4153,4157
2017,2,CYYZ,28,28
2017,2,LEMD,501,500
2017,2,SGAS,334,332
2017,2,SPJC,513,514
2017,2,SBSV,2429,2458
2017,2,LFPG,154,154
2017,2,SCEL,807,805
2017,2,MMMX,60,65
2017,2,LIRF,124,126
2017,2,LEBL,60,60
2017,2,SACO,99,99
2017,2,SBPS,548,558
2017,2,SABE,561,544
2017,2,SBPA,2824,2813
2017,2,SBFL,1400,1419
2017,2,MMUN,8,8
2017,2,SVMI,49,49
2017,2,SBCT,2827,2819
2017,2,SKBO,447,408
2017,2,SBBH,97,94
2017,2,SBHT,126,124
2017,2,SBKP,5082,5114
2017,2,SBAR,439,443
2017,2,SBFI,726,696
2017,2,SBMK,186,184
2017,2,SBRF,2440,2488
2017,2,SBMS,0,0
2017,2,SBMO,701,701
2017,2,SBMG,330,334
2017,2,SDCO,1,1
2017,2,SBCH,215,217
2017,2,SBGO,1168,1181
2017,2,SBCY,1256,1249
2017,2,SBGV,81,81
2017,2,SBRJ,3919,3941
2017,2,SBVT,1104,1107
2017,2,SBRP,778,779
2017,2,SBLO,440,446
2017,2,SBBE,1326,1318
2017,2,SBNF,499,504
2017,2,SBSP,7100,7037
