year,month,airport,incoming,outgoing
2015,1,SBGR,13803,13792
2015,1,SBSM,54,58
2015,1,SBSG,1352,1385
2015,1,SBSV,4257,4225
2015,1,SKBO,485,463
2015,1,SBKP,6644,6629
2015,1,SBEG,2098,2132
2015,1,SPIM,564,539
2015,1,FAJS,49,80
2015,1,SBBE,2125,2095
2015,1,LFPG,233,230
2015,1,SBFZ,2824,2867
2015,1,SBCY,1647,1647
2015,1,SBSL,954,933
2015,1,MPTO,683,690
2015,1,SBPJ,366,368
2015,1,SBGO,1683,1685
2015,1,SKRG,162,144
2015,1,SBPL,190,190
2015,1,SBFL,1831,1827
2015,1,SBKG,94,94
2015,1,GOOY,56,67
2015,1,KMIA,1095,1134
2015,1,SBRB,190,190
2015,1,EGLL,137,138
2015,1,SBUL,715,722
2015,1,SGAS,306,308
2015,1,SBAR,595,614
2015,1,EHAM,143,158
2015,1,SAEZ,1511,1547
2015,1,LEMD,556,555
2015,1,SBGL,6553,6499
2015,1,SBCF,5588,5560
2015,1,KMCO,166,167
2015,1,SBDN,164,166
2015,1,SEGU,68,68
2015,1,SEQU,118,117
2015,1,GCTS,18,18
2015,1,SBPS,869,861
2015,1,SBCT,3675,3692
2015,1,SBPK,53,53
2015,1,KFLL,44,43
2015,1,SBLO,577,578
2015,1,SBFI,771,766
2015,1,SBCH,231,235
2015,1,SBCG,750,751
2015,1,MMMX,94,97
2015,1,KJFK,295,290
2015,1,SBMG,590,581
2015,1,MDPC,70,79
2015,1,KATL,155,155
2015,1,SBTE,541,519
2015,1,SBJP,584,589
2015,1,SBPV,478,483
2015,1,SBRF,3110,3095
2015,1,SBBR,7701,7723
2015,1,SBDO,135,138
2015,1,TJBQ,16,15
2015,1,SBMO,891,890
2015,1,SBQV,266,273
2015,1,SBSN,561,564
2015,1,SBJU,218,219
2015,1,SBSR,330,334
2015,1,SBAE,120,110
2015,1,TJSJ,6,5
2015,1,SBPA,3616,3618
2015,1,SACO,99,99
2015,1,SAAR,49,50
2015,1,SBUR,222,227
2015,1,SBML,85,85
2015,1,SBIL,331,332
2015,1,LIRF,125,125
2015,1,SBGV,159,160
2015,1,SBSP,7939,7830
2015,1,SBRP,951,974
2015,1,SBRJ,5131,5167
2015,1,MMGL,19,14
2015,1,SEQM,132,127
2015,1,SBCB,254,255
2015,1,SVMI,141,145
2015,1,EDDF,218,218
2015,1,SBVT,1579,1613
2015,1,EHBK,16,13
2015,1,SBAU,89,88
2015,1,SBBV,126,126
2015,1,SBCM,57,57
2015,1,SBBH,862,868
2015,1,SUMU,446,447
2015,1,SBJV,278,280
2015,1,LPPT,304,294
2015,1,SBCA,274,281
2015,1,MMUN,17,17
2015,1,SGES,99,100
2015,1,SCEL,728,676
2015,1,SBMK,230,234
2015,1,SOCA,28,28
2015,1,LSZH,46,48
2015,1,SLVR,178,191
2015,1,SBHT,370,371
2015,1,EDDM,31,31
2015,1,SBMQ,334,339
2015,1,ELLX,31,27
2015,1,SVVA,29,27
2015,1,LEBL,49,50
2015,1,WSSS,13,13
2015,1,MDSD,126,127
2015,1,SANT,28,28
2015,1,SCDA,44,36
2015,1,MROC,105,72
2015,1,TNCC,10,10
2015,1,SBTG,146,147
2015,1,LIMC,36,36
2015,1,SABE,503,512
2015,1,SBZM,79,79
2015,1,SBMA,355,353
2015,1,SWLB,9,9
2015,1,SBNF,642,646
2015,1,SNDC,25,24
2015,1,MMMD,14,14
2015,1,SBCN,59,59
2015,1,SBME,84,83
2015,1,SBPF,135,136
2015,1,SBFN,131,136
2015,1,SBPB,29,29
2015,1,SBIZ,258,258
2015,1,KLAX,83,82
2015,1,FNLU,36,36
2015,1,SDOW,22,23
2015,1,SBCJ,131,130
2015,1,SBTT,63,62
2015,1,SBTU,18,18
2015,1,SWEI,11,11
2015,1,SNPD,13,13
2015,1,SWGN,102,103
2015,1,KMEM,24,22
2015,1,SWLC,58,57
2015,1,SWCA,35,35
2015,1,SBIP,189,186
2015,1,SBAQ,26,26
2015,1,SBCX,80,106
2015,1,SELT,13,13
2015,1,SNBR,105,106
2015,1,SBDB,17,17
2015,1,SNVB,6,6
2015,1,SBCZ,31,31
