year,month,airport,incoming,outgoing
2006,1,SBJP,238,220
2006,1,SBAR,413,414
2006,1,SBMO,599,593
2006,1,SAAR,20,19
2006,1,SBVT,908,933
2006,1,SBDN,137,140
2006,1,SBGL,4716,4796
2006,1,SBGR,6651,6676
2006,1,SBAU,164,142
2006,1,SBMQ,295,294
2006,1,SDCO,69,64
2006,1,SBRF,2211,2176
2006,1,SBCG,496,498
2006,1,SBPA,2015,2047
2006,1,SBNT,804,802
2006,1,SBFI,378,381
2006,1,SBPJ,109,111
2006,1,SGAS,133,142
2006,1,SBUR,136,161
2006,1,SAEZ,1414,1426
2006,1,SBSV,2714,2761
2006,1,SBSP,9016,8947
2006,1,SBBR,4383,4400
2006,1,SBKP,1135,1140
2006,1,SBFZ,1613,1628
2006,1,SBLO,597,599
2006,1,SBSR,302,297
2006,1,SBPL,149,149
2006,1,SUMU,225,217
2006,1,SBBE,1213,1249
2006,1,SBRP,384,384
2006,1,SBCY,734,733
2006,1,SBMG,267,268
2006,1,SBMK,172,165
2006,1,FAJS,31,31
2006,1,SBRJ,2316,2297
2006,1,SBCP,141,138
2006,1,SBNF,264,285
2006,1,SBJV,226,224
2006,1,SBSL,434,420
2006,1,SBBH,604,610
2006,1,SBPV,411,412
2006,1,SBAX,69,69
2006,1,SBCF,2023,1986
2006,1,SBGO,861,826
2006,1,SBFL,1004,994
2006,1,SBSJ,119,119
2006,1,ELLX,0,13
2006,1,SBML,259,250
2006,1,SBAQ,118,118
2006,1,SSDO,44,45
2006,1,SBBU,296,298
2006,1,SBME,278,285
2006,1,SBUL,503,522
2006,1,SBCT,2707,2665
2006,1,SMJP,27,27
2006,1,SBEG,1303,1315
2006,1,SVMI,95,98
2006,1,KMEM,18,22
2006,1,LFPG,214,216
2006,1,EDDF,140,146
2006,1,SILC,47,47
2006,1,SBTE,282,282
2006,1,SBCA,165,163
2006,1,SBIP,271,272
2006,1,SKBO,126,68
2006,1,LPPT,273,235
2006,1,MPTO,139,149
2006,1,SCEL,399,317
2006,1,KMIA,464,618
2006,1,SBIZ,62,62
2006,1,SBJF,88,88
2006,1,SWTU,20,20
2006,1,SEGU,36,13
2006,1,SBIL,242,242
2006,1,SOCA,49,52
2006,1,SGES,68,63
2006,1,SBGV,131,132
2006,1,SWSI,101,101
2006,1,SWPI,134,136
2006,1,SBHT,264,255
2006,1,SIZX,53,53
2006,1,SBMA,81,81
2006,1,KLAX,27,31
2006,1,SBRB,195,231
2006,1,LIRF,37,46
2006,1,GOOY,91,83
2006,1,MMMX,82,83
2006,1,SBPS,486,488
2006,1,SWJI,69,63
2006,1,LPPR,1,31
2006,1,SBCH,88,88
2006,1,SBKG,92,94
2006,1,SACO,34,32
2006,1,SBIH,154,151
2006,1,SBNM,57,57
2006,1,SWEI,18,17
2006,1,SBTC,29,29
2006,1,SNGI,45,44
2006,1,SBAT,43,40
2006,1,SBTT,36,36
2006,1,SLVR,201,238
2006,1,SBQV,63,64
2006,1,SBMD,125,133
2006,1,SWGN,44,44
2006,1,TFFR,0,4
2006,1,SBSN,308,310
2006,1,SNVS,26,26
2006,1,KATL,151,137
2006,1,SLPS,13,13
2006,1,SBCX,89,89
2006,1,SBPF,93,94
2006,1,SBLE,50,44
2006,1,SBTU,44,44
2006,1,SBTF,82,81
2006,1,SNYA,26,26
2006,1,SBVH,66,66
2006,1,SWCA,39,39
2006,1,SWMW,22,22
2006,1,MUHA,9,8
2006,1,SNDT,9,9
2006,1,SBCJ,44,44
2006,1,GVNP,9,9
2006,1,SWRD,104,105
2006,1,SBFN,126,126
2006,1,SNOX,26,20
2006,1,SBLP,44,44
2006,1,SNBR,89,86
2006,1,KIAH,62,63
2006,1,TTPP,5,19
2006,1,SWJN,51,51
2006,1,SDCG,14,14
2006,1,SNPD,44,44
2006,1,FACT,13,13
2006,1,EDDM,10,7
2006,1,SWKO,55,55
2006,1,SWLB,17,18
2006,1,LEMD,432,416
2006,1,LIMC,78,78
2006,1,SSNM,26,26
2006,1,SWRP,26,26
2006,1,SWHT,17,17
2006,1,SBCR,22,22
2006,1,SBBW,50,50
2006,1,SSVI,17,13
2006,1,SBBV,114,114
2006,1,SPIM,135,118
2006,1,SUPE,16,20
2006,1,MMGL,0,5
2006,1,SWOB,16,10
2006,1,SJNP,26,26
2006,1,SWLC,26,26
2006,1,SBJU,113,112
2006,1,SNMU,13,13
2006,1,TFFF,0,4
2006,1,SWKN,72,72
2006,1,SVMG,10,10
2006,1,SWFN,34,32
2006,1,EDDL,1,2
2006,1,SBMS,9,9
2006,1,MMUN,0,7
2006,1,SNVB,5,5
2006,1,SWBC,65,64
2006,1,SWUY,54,52
2006,1,SBJR,8,7
2006,1,SNQM,1,1
2006,1,KJFK,166,157
2006,1,SBUF,9,9
2006,1,TNCA,1,1
2006,1,SJDB,13,12
2006,1,SNDC,20,19
2006,1,EGLL,85,63
2006,1,SBBZ,17,17
2006,1,SBCZ,39,40
2006,1,SWTP,27,23
2006,1,TNCC,1,1
2006,1,SBUA,22,27
2006,1,FAWB,1,2
2006,1,MMMY,0,3
2006,1,MMMD,0,1
2006,1,SDAM,6,7
2006,1,SYCJ,17,17
2006,1,EHAM,33,33
2006,1,SBTB,45,46
2006,1,SANT,1,5
2006,1,SDAG,5,5
2006,1,LSZH,22,23
2006,1,SJKB,7,7
2006,1,FNLU,11,11
2006,1,MTPP,1,1
2006,1,SDSC,1,1
2006,1,TNCM,5,5
2006,1,ESGG,3,3
2006,1,SNMA,13,14
2006,1,KTUL,0,1
2006,1,SNFX,10,11
2006,1,SNSW,1,1
2006,1,SULS,6,6
2006,1,SNAH,1,1
2006,1,SBST,2,2
2006,1,SNBU,1,1
2006,1,SVVA,1,1
2006,1,SWWD,1,1
2006,1,SNVR,1,1
2006,1,KIAD,93,93
2006,1,KEWR,30,31
2006,1,KORD,62,62
2006,1,SKRG,1,5
2006,1,SDOW,18,18
2006,1,SWJU,4,4
2006,1,SBMY,13,13
2006,1,SBOI,26,26
2006,1,SNMZ,13,13
2006,1,SWBR,13,13
2006,1,SBCM,29,22
2006,1,SBPB,18,18
2006,1,LEBL,8,8
2006,1,KDFW,85,84
2006,1,CYYZ,31,31
2006,1,SEQU,14,0
2006,1,KFLL,13,0
2006,1,SKMD,1,0
2006,1,SLCB,2,0
2006,1,SCDA,10,0
2006,1,MGGT,1,0
2006,1,EDDH,1,0
2006,1,SLLP,31,0
2006,1,GCLP,13,0
2006,1,TJSJ,4,0
2006,1,SASA,0,0
2006,1,SBPC,0,0
2006,1,SBGE,0,0
2006,1,SAME,0,0
2006,1,SNYB,0,0
2006,1,SBCV,0,0
2006,1,SKCL,0,0
2006,1,SDTK,0,0
2006,1,MDPC,0,0
2006,1,SDLK,0,0
2006,1,MMAA,0,0
2006,1,GVAC,0,0
2006,1,SWJW,0,0
2006,1,SWOW,0,0
2006,1,SNTP,0,0
2006,1,SDMC,0,0
2006,1,SBYA,0,0
2006,1,SVMC,0,0
2006,1,MROC,0,0
2006,1,MDSD,0,0
2006,1,SBGP,0,0
2006,1,SABE,0,0
2006,1,EGGW,0,0
2006,1,SWPD,0,0
2006,1,SBIC,0,0
2006,1,SPZO,0,0
2006,1,SNSH,0,0
2006,1,GMAD,0,0
2006,1,SNJB,0,0
2006,1,LIBR,0,0
2006,1,GVFM,0,0
2006,1,SAZS,0,0
2006,1,DNMM,0,0
2006,1,GCXO,0,0
2006,1,SBAM,0,0
2006,1,SBMN,0,0
2006,1,SDJA,0,0
2006,1,SJTS,0,0
2006,1,SARI,0,0
2006,1,KDOV,0,0
2006,1,LLBG,0,0
2006,1,SAMQ,0,0
2006,1,SIMK,0,0
2006,1,SNKI,0,0
2006,1,EDDK,0,0
2006,1,SNRU,0,0
2006,1,SBPK,0,0
2006,1,EDFH,0,0
2006,1,EDDB,0,0
2006,1,EBLG,0,0
2006,1,SAIG,0,0
2006,1,SNQD,0,0
2006,1,LEVC,0,0
2006,1,OSDI,0,0
2006,1,KROW,0,0
2006,1,EBOS,0,0
2006,1,SELT,0,0
2006,1,SABA,0,0
2006,1,KTUS,0,0
2006,1,SNDV,0,0
2006,1,SBTD,0,0
2006,1,SBVG,0,0
2006,1,SJUR,0,0
2006,1,SWNK,0,0
2006,1,SNBV,0,0
2006,1,SWUQ,0,0
2006,1,SWYN,0,0
2006,1,SWNO,0,0
2006,1,SBGF,0,0
2006,1,KVCV,0,0
2006,1,SDAN,0,0
2006,1,SBBT,0,0
2006,1,SWBI,0,0
2006,1,SSZR,0,0
2006,1,SBSM,0,0
2006,1,SBRG,0,0
2006,1,SSHZ,0,0
2006,1,SDOU,0,0
2006,1,SNKE,0,0
2006,1,SWXM,0,0
2006,1,SBMT,0,0
2006,1,SBMC,0,0
2006,1,SJHG,0,0
2006,1,SNBS,0,0
2006,1,SJTC,0,0
2006,1,GCTS,0,0
2006,1,SWGI,0,0
2006,1,SWFX,0,0
2006,1,SBAA,0,0
2006,1,SWEU,0,0
2006,1,SBLN,0,0
2006,1,SSBN,0,0
2006,1,SDAA,0,0
2006,1,SBCC,0,0
2006,1,SWLV,0,0
2006,1,SNFE,0,0
2006,1,SCFA,0,0
2006,1,SJRG,0,0
2006,1,KBFI,0,0
2006,1,ENGM,0,0
2006,1,TBPB,0,0
2006,1,SURV,0,0
2006,1,SBRE,0,0
2006,1,SBUG,0,0
2006,1,SBCO,0,0
2006,1,KGSO,0,0
2006,1,KSFO,0,0
2006,2,SBJP,218,220
2006,2,SBAR,369,370
2006,2,SBMO,546,538
2006,2,SAAR,16,16
2006,2,SBVT,826,829
2006,2,SBDN,105,120
2006,2,SBGL,4350,4342
2006,2,SBGR,6020,5992
2006,2,SBAU,111,110
2006,2,SBMQ,266,265
2006,2,SDCO,58,59
2006,2,SBRF,2083,2074
2006,2,SBCG,444,442
2006,2,SBPA,1814,1838
2006,2,SBNT,685,690
2006,2,SBFI,345,345
2006,2,SBPJ,92,92
2006,2,SGAS,111,114
2006,2,SBUR,123,122
2006,2,SAEZ,1312,1310
2006,2,SBSV,2647,2698
2006,2,SBSP,8197,8107
2006,2,SBBR,3883,3916
2006,2,SBKP,978,988
2006,2,SBFZ,1407,1410
2006,2,SBLO,508,524
2006,2,SBSR,270,266
2006,2,SBPL,127,129
2006,2,SUMU,191,198
2006,2,SBBE,1079,1114
2006,2,SBRP,351,355
2006,2,SBCY,651,651
