year,month,airport,incoming,outgoing
2001,1,SBSV,2758,2796
2001,1,SBCT,2765,2770
2001,1,SBCG,507,510
2001,1,SBSJ,252,251
2001,1,SBGO,819,819
2001,1,SBVT,885,886
2001,1,SBBV,130,131
2001,1,SAEZ,1474,1471
2001,1,SBPA,2050,2049
2001,1,SBBE,1372,1375
2001,1,SBNT,1194,1211
2001,1,SBRP,969,970
2001,1,SBCH,177,186
2001,1,SBAR,529,529
2001,1,SBSR,545,552
2001,1,SGAS,97,66
2001,1,SBCM,97,97
2001,1,SBEG,1197,1188
2001,1,SBBR,4636,4640
2001,1,SBGR,8075,8056
2001,1,SBSP,8438,8417
2001,1,SBKP,1916,1921
2001,1,SBUL,684,686
2001,1,SBJP,361,363
2001,1,SBCY,741,736
2001,1,SBGL,3760,3712
2001,1,SDCO,29,28
2001,1,SBBU,348,349
2001,1,SBJF,131,129
2001,1,GOOY,54,57
2001,1,SBFZ,1687,1671
2001,1,SBUR,251,252
2001,1,SBRF,2523,2506
2001,1,SBRJ,3956,3941
2001,1,SBDN,235,237
2001,1,SBTE,477,474
2001,1,SBBH,2365,2365
2001,1,SBFL,1237,1231
2001,1,SBMO,732,733
2001,1,SBNF,726,726
2001,1,SBSN,514,508
2001,1,SBLO,931,939
2001,1,SBCF,846,864
2001,1,SBAU,132,133
2001,1,SBFI,288,292
2001,1,SBJV,565,565
2001,1,LEMD,276,276
2001,1,SBMG,308,312
2001,1,MPTO,106,94
2001,1,SBCA,186,187
2001,1,SBPF,93,95
2001,1,SNVS,74,74
2001,1,SBCX,318,319
2001,1,SBML,218,218
2001,1,LIMC,53,58
2001,1,KMEM,23,14
2001,1,SBJU,101,102
2001,1,LPPR,13,14
2001,1,SBNM,91,89
2001,1,KJFK,243,247
2001,1,LFPG,156,155
2001,1,KATL,37,51
2001,1,LPPT,131,128
2001,1,SBFN,243,248
2001,1,SBHT,314,313
2001,1,LIRF,72,69
2001,1,SBIP,179,180
2001,1,SAAR,18,20
2001,1,EDDF,106,106
2001,1,SNTI,62,62
2001,1,SBMD,207,207
2001,1,SBIL,308,301
2001,1,SUMU,195,229
2001,1,SBVG,55,55
2001,1,MUHA,20,19
2001,1,SBIH,221,221
2001,1,SNOX,74,75
2001,1,SNMZ,37,38
2001,1,SWSI,123,123
2001,1,SBPL,195,195
2001,1,SBRB,313,318
2001,1,SBMQ,438,437
2001,1,SBVH,72,74
2001,1,SKBO,44,42
2001,1,KMIA,524,588
2001,1,SCEL,232,225
2001,1,SVMI,37,41
2001,1,SBPS,528,535
2001,1,SWJI,59,61
2001,1,SBPV,356,355
2001,1,SBPJ,166,168
2001,1,SBSL,503,500
2001,1,FAJS,8,8
2001,1,SWBC,60,59
2001,1,SBSM,55,55
2001,1,SBQV,116,116
2001,1,SOCA,53,54
2001,1,SWJH,90,90
2001,1,SNGI,46,46
2001,1,SWHT,30,30
2001,1,SWII,4,4
2001,1,SBTK,117,117
2001,1,SBMA,159,159
2001,1,SLVR,183,206
2001,1,SWEI,34,32
2001,1,SWLB,29,29
2001,1,SNGV,86,86
2001,1,SBLJ,90,91
2001,1,SBTU,100,100
2001,1,SNDB,28,28
2001,1,SWJP,4,4
2001,1,SBCJ,24,24
2001,1,SBTF,117,119
2001,1,SNBR,54,54
2001,1,SBCR,32,31
2001,1,SNNG,54,54
2001,1,SNDM,50,53
2001,1,SWTU,26,26
2001,1,SBTC,52,50
2001,1,SBIZ,72,71
2001,1,KLAX,88,94
2001,1,SBAT,24,23
2001,1,MDPC,9,6
2001,1,SDFR,25,25
2001,1,SWCA,92,92
2001,1,SBTT,37,37
2001,1,SWJN,145,148
2001,1,SNTF,23,23
2001,1,SEQU,1,14
2001,1,SWGN,27,28
2001,1,SWPI,169,170
2001,1,SWKO,44,44
2001,1,EDDM,13,13
2001,1,SNIG,62,62
2001,1,SBMS,62,62
2001,1,FACT,13,13
2001,1,SWMW,115,118
2001,1,SBFC,67,70
2001,1,SNMA,20,20
2001,1,SBCZ,85,85
2001,1,SBPB,8,8
2001,1,SBRG,24,23
2001,1,SSTD,63,62
2001,1,SNMU,25,24
2001,1,SBKG,31,31
