year,month,airport,incoming,outgoing
2013,1,SCEL,686,585
2013,1,SBMK,299,300
2013,1,SBAU,173,174
2013,1,SBGR,12025,12003
2013,1,SBKP,5625,5574
2013,1,SBCG,938,940
2013,1,SBSR,459,459
2013,1,SGES,83,86
2013,1,SKRG,111,70
2013,1,SBEG,1915,1944
2013,1,SBCF,5209,5226
2013,1,SBPA,3186,3186
2013,1,SBUL,699,716
2013,1,SBDO,86,82
2013,1,SBBV,95,95
2013,1,SPIM,468,464
2013,1,SBBE,1808,1809
2013,1,SBSL,827,834
2013,1,SBNT,1107,1119
2013,1,SBBR,6977,6991
2013,1,SBRJ,5197,5176
2013,1,KMIA,1018,1121
2013,1,SBMG,524,495
2013,1,SBLO,723,722
2013,1,SCDA,53,51
2013,1,SEQU,200,194
2013,1,SBRB,214,216
2013,1,SBSJ,194,196
2013,1,SBPJ,345,347
2013,1,SBJI,115,114
2013,1,SBCH,286,286
2013,1,SBRF,3114,3122
2013,1,SBAE,167,167
2013,1,SBFI,681,676
2013,1,SBSV,4206,4203
2013,1,MMGL,54,41
2013,1,EDDF,270,277
2013,1,SBGL,6755,6700
2013,1,SBSP,7500,7444
2013,1,SBIP,297,302
2013,1,SBRP,976,977
2013,1,SBFZ,2437,2442
2013,1,SBFL,2012,2013
2013,1,SBVT,1637,1639
2013,1,SBCT,3705,3727
2013,1,SAEZ,1609,1616
2013,1,SBJV,318,318
2013,1,SBCY,1505,1555
2013,1,SBBH,937,928
2013,1,FAJS,48,80
2013,1,ELLX,21,36
2013,1,SBPL,240,240
2013,1,LEBL,44,43
2013,1,LPPR,17,17
2013,1,LIMC,43,42
2013,1,SBHT,260,260
2013,1,SABE,598,593
2013,1,SGAS,257,257
2013,1,SBPV,644,648
2013,1,EHBK,8,8
2013,1,EHAM,91,118
2013,1,SBMO,893,908
2013,1,SBGO,1613,1599
2013,1,SEGU,124,126
2013,1,SBJF,137,136
2013,1,SBCP,80,83
2013,1,SBTE,463,464
2013,1,SBGV,161,160
2013,1,SKBO,352,366
2013,1,KMEM,23,23
2013,1,SBSN,328,329
2013,1,SBUR,191,196
2013,1,SVMI,161,165
2013,1,SBJP,503,504
2013,1,FNLU,37,37
2013,1,SBNM,28,29
2013,1,LIRF,117,115
2013,1,SBPK,73,73
2013,1,SBCA,189,189
2013,1,SBMA,471,469
2013,1,SBAR,734,732
2013,1,SBCM,58,59
2013,1,SBIZ,189,189
2013,1,SVVA,36,36
2013,1,SBAX,121,125
2013,1,LFPG,264,263
2013,1,LPPT,293,288
2013,1,SBCX,145,144
2013,1,SBMD,44,45
2013,1,LEMD,504,498
2013,1,SBNF,725,726
2013,1,SJRG,100,104
2013,1,SBME,135,138
2013,1,SSKW,85,89
2013,1,MMMD,45,36
2013,1,MMMX,123,147
2013,1,GOOY,118,114
2013,1,SANT,31,30
2013,1,SBSM,100,100
2013,1,SBPF,74,75
2013,1,SBAT,58,62
2013,1,SWLC,46,47
2013,1,SLLP,31,32
2013,1,SLVR,163,169
2013,1,SBPS,605,605
